Site Occupation Location,Toponyms,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Area
6429,Fosso Cupo,A,Early Imperial Period,8,-30,100,130,0.54719675
6429,Fosso Cupo,A,Mid-Imperial Period,9,100,300,200,0.54719675
6429,Fosso Cupo,A,Late Imperial Period,10,300,500,200,0.54719675
6430,Macchia Tonda,A,Republican Period,7,-50,-30,20,0.68213117
6430,Macchia Tonda,A,Early Imperial Period,8,-30,100,130,0.68213117
6430,Macchia Tonda,A,Mid-Imperial Period,9,100,300,200,0.68213117
6430,Macchia Tonda,A,Late Imperial Period,10,300,500,200,0.68213117
6431,Macchia di Ruffo,A,Archaic Period,6,-400,-350,50,0.51428598
6431,Macchia di Ruffo,A,Republican Period,7,-350,-30,320,0.51428598
6431,Macchia di Ruffo,A,Early Imperial Period,8,-30,100,130,0.51428598
6431,Macchia di Ruffo,A,Mid-Imperial Period,9,100,300,200,0.51428598
6431,Macchia di Ruffo,A,Late Imperial Period,10,300,500,200,0.51428598
6432,Postiglione,A,Archaic Period,6,-400,-350,50,0.21729729
6432,Postiglione,A,Republican Period,7,-350,-30,320,0.21729729
6432,Postiglione,A,Early Imperial Period,8,-30,100,130,0.21729729
6432,Postiglione,A,Mid-Imperial Period,9,100,300,200,0.21729729
6432,Postiglione,A,Late Imperial Period,10,300,500,200,0.21729729
6433,Cataluccio,A,Archaic Period,6,-400,-350,50,0.34555694
6433,Cataluccio,A,Republican Period,7,-350,-50,300,0.34555694
6434,Origliano,A,Republican Period,7,-50,-30,20,0.24393606
6434,Origliano,A,Early Imperial Period,8,-30,100,130,0.24393606
6434,Origliano,A,Mid-Imperial Period,9,100,300,200,0.24393606
6434,Origliano,A,Late Imperial Period,10,300,500,200,0.24393606
6435,Rio Grande,A,Republican Period,7,-200,-30,170,0.41898507
6435,Rio Grande,A,Early Imperial Period,8,-30,100,130,0.41898507
6435,Rio Grande,A,Mid-Imperial Period,9,100,300,200,0.41898507
6435,Rio Grande,A,Late Imperial Period,10,300,500,200,0.41898507
6436,Colduano,A,Republican Period,7,-200,-30,170,0.41652015
6436,Colduano,A,Early Imperial Period,8,-30,100,130,0.41652015
6436,Colduano,A,Mid-Imperial Period,9,100,300,200,0.41652015
6436,Colduano,A,Late Imperial Period,10,300,500,200,0.41652015
6437,Aquilano,A,Republican Period,7,-200,-30,170,0.32728153
6437,Aquilano,A,Early Imperial Period,8,-30,100,130,0.32728153
6437,Aquilano,A,Mid-Imperial Period,9,100,300,200,0.32728153
6437,Aquilano,A,Late Imperial Period,10,300,500,200,0.32728153
6438,S. Angelo,A,Republican Period,7,-200,-30,170,0.56164742
6438,S. Angelo,A,Early Imperial Period,8,-30,100,130,0.56164742
6438,S. Angelo,A,Mid-Imperial Period,9,100,300,200,0.56164742
6438,S. Angelo,A,Late Imperial Period,10,300,500,200,0.56164742
6440,Forchetta del Sasso,A,Late Bronze Age,3,-1100,-1020,80,0.1
6440,Forchetta del Sasso,A,Early Iron Age,4,-1020,-900,120,0.1
6441,Monte Santo,A,Late Bronze Age,3,-1100,-1020,80,0.1
6441,Monte Santo,A,Early Iron Age,4,-1020,-900,120,0.1
6441,Monte Santo,B,Late Iron Age,5,-700,-580,120,0.1
6441,Monte Santo,B,Archaic Period,6,-580,-500,80,0.1
6442,Monte dei Pozzi,A,Late Iron Age,5,-600,-580,20,0.1
6442,Monte dei Pozzi,A,Archaic Period,6,-580,-350,230,0.1
6442,Monte dei Pozzi,A,Republican Period,7,-350,-200,150,0.1
6443,Monte Bischero,A,Late Iron Age,5,-700,-580,120,0.1
6443,Monte Bischero,A,Archaic Period,6,-580,-500,80,0.1
6444,Monte della Ginestra,A,Republican Period,7,-200,-30,170,0.2
6444,Monte della Ginestra,A,Early Imperial Period,8,-30,100,130,0.2
6444,Monte della Ginestra,A,Mid-Imperial Period,9,100,300,200,0.2
6444,Monte della Ginestra,A,Late Imperial Period,10,300,500,200,0.2
6445,Montetosto Alto,A,Late Bronze Age,3,-1100,-1020,80,0.1
6445,Montetosto Alto,A,Early Iron Age,4,-1020,-800,220,0.1
6446,Monte Tosto,A,Late Bronze Age,3,-1100,-1020,80,0.1
6446,Monte Tosto,A,Early Iron Age,4,-1020,-900,120,0.1
6446,Monte Tosto,B,Late Iron Age,5,-700,-580,120,0.1
6446,Monte Tosto,B,Archaic Period,6,-580,-500,80,0.1
6447,Monte Fontana,A,Late Iron Age,5,-600,-580,20,0.1
6447,Monte Fontana,A,Archaic Period,6,-580,-350,230,0.1
6447,Monte Fontana,A,Republican Period,7,-350,-30,320,0.1
6447,Monte Fontana,A,Early Imperial Period,8,-30,100,130,0.1
6447,Monte Fontana,A,Mid-Imperial Period,9,100,300,200,0.1
6447,Monte Fontana,A,Late Imperial Period,10,300,500,200,0.1
6448,Monte Fontana,A,Late Iron Age,5,-600,-580,20,0.1
6448,Monte Fontana,A,Archaic Period,6,-580,-350,230,0.1
6448,Monte Fontana,A,Republican Period,7,-350,-30,320,0.1
6448,Monte Fontana,A,Early Imperial Period,8,-30,100,130,0.1
6448,Monte Fontana,A,Mid-Imperial Period,9,100,300,200,0.1
6448,Monte Fontana,A,Late Imperial Period,10,300,500,200,0.1
6449,Vaccareccia,A,Late Iron Age,5,-700,-580,120,0.1
6449,Vaccareccia,A,Archaic Period,6,-580,-500,80,0.1
6450,Monte Paparano,A,Late Iron Age,5,-700,-580,120,0.1
6450,Monte Paparano,A,Archaic Period,6,-580,-500,80,0.1
6451,Riserva Baccala',A,Late Iron Age,5,-600,-580,20,0.1
6451,Riserva Baccala',A,Archaic Period,6,-580,-350,230,0.1
6451,Riserva Baccala',A,Republican Period,7,-350,-200,150,0.1
6452,Pianacce,A,Late Iron Age,5,-600,-580,20,0.1
6452,Pianacce,A,Archaic Period,6,-580,-350,230,0.1
6452,Pianacce,A,Republican Period,7,-350,-30,320,0.1
6452,Pianacce,A,Early Imperial Period,8,-30,100,130,0.1
6452,Pianacce,A,Mid-Imperial Period,9,100,300,200,0.1
6452,Pianacce,A,Late Imperial Period,10,300,500,200,0.1
6453,Monte Puglia,A,Late Iron Age,5,-600,-580,20,0.5
6453,Monte Puglia,A,Archaic Period,6,-580,-350,230,0.5
6453,Monte Puglia,A,Republican Period,7,-350,-30,320,0.5
6453,Monte Puglia,A,Early Imperial Period,8,-30,100,130,0.5
6453,Monte Puglia,A,Mid-Imperial Period,9,100,300,200,0.5
6453,Monte Puglia,A,Late Imperial Period,10,300,500,200,0.5
6454,Monte Capareccia,A,Late Iron Age,5,-600,-580,20,0.1
6454,Monte Capareccia,A,Archaic Period,6,-580,-350,230,0.1
6454,Monte Capareccia,A,Republican Period,7,-350,-200,150,0.1
6455,Monte Rastello,A,Late Iron Age,5,-600,-580,20,0.1
6455,Monte Rastello,A,Archaic Period,6,-580,-500,80,0.1
6456,Bucacce,A,Late Iron Age,5,-600,-580,20,0.1
6456,Bucacce,A,Archaic Period,6,-580,-500,80,0.1
6457,Bucacce,A,Late Iron Age,5,-600,-580,20,0.1
6457,Bucacce,A,Archaic Period,6,-580,-350,230,0.1
6457,Bucacce,A,Republican Period,7,-350,-200,150,0.1
6458,Monte Vittoria,A,Late Iron Age,5,-700,-580,120,0.1
6458,Monte Vittoria,A,Archaic Period,6,-580,-500,80,0.1
6459,Monte Lungo,A,Late Iron Age,5,-700,-580,120,0.1
6459,Monte Lungo,A,Archaic Period,6,-580,-500,80,0.1
6460,Pianciano,A,Late Iron Age,5,-600,-580,20,0.1
6460,Pianciano,A,Archaic Period,6,-580,-350,230,0.1
6460,Pianciano,A,Republican Period,7,-350,-30,320,0.1
6460,Pianciano,A,Early Imperial Period,8,-30,100,130,0.1
6460,Pianciano,A,Mid-Imperial Period,9,100,300,200,0.1
6460,Pianciano,A,Late Imperial Period,10,300,500,200,0.1
6461,Cerquabella,A,Republican Period,7,-200,-30,170,0.5
6461,Cerquabella,A,Early Imperial Period,8,-30,100,130,0.5
6461,Cerquabella,A,Mid-Imperial Period,9,100,300,200,0.5
6461,Cerquabella,A,Late Imperial Period,10,300,500,200,0.5
6462,Monte Muracciolo,A,Republican Period,7,-200,-30,170,0.30000001
6462,Monte Muracciolo,A,Early Imperial Period,8,-30,100,130,0.30000001
6462,Monte Muracciolo,A,Mid-Imperial Period,9,100,300,200,0.30000001
6462,Monte Muracciolo,A,Late Imperial Period,10,300,500,200,0.30000001
6463,Monte Muracciolo,A,Republican Period,7,-200,-30,170,0.30000001
6463,Monte Muracciolo,A,Early Imperial Period,8,-30,100,130,0.30000001
6463,Monte Muracciolo,A,Mid-Imperial Period,9,100,300,200,0.30000001
6463,Monte Muracciolo,A,Late Imperial Period,10,300,500,200,0.30000001
6464,Monte Muracciolo,A,Republican Period,7,-200,-30,170,0.30000001
6464,Monte Muracciolo,A,Early Imperial Period,8,-30,100,130,0.30000001
6464,Monte Muracciolo,A,Mid-Imperial Period,9,100,300,200,0.30000001
6464,Monte Muracciolo,A,Late Imperial Period,10,300,500,200,0.30000001
6465,Monte Muracciolo,A,Republican Period,7,-200,-30,170,0.30000001
6465,Monte Muracciolo,A,Early Imperial Period,8,-30,100,130,0.30000001
6465,Monte Muracciolo,A,Mid-Imperial Period,9,100,300,200,0.30000001
6465,Monte Muracciolo,A,Late Imperial Period,10,300,500,200,0.30000001
6466,Poggio Ponte Coperto,A,Late Iron Age,5,-600,-580,20,0.1
6466,Poggio Ponte Coperto,A,Archaic Period,6,-580,-350,230,0.1
6466,Poggio Ponte Coperto,A,Republican Period,7,-350,-200,150,0.1
6467,Monte dell'Oro-Ponte Coperto,A,Republican Period,7,-200,-30,170,0.30000001
6467,Monte dell'Oro-Ponte Coperto,A,Early Imperial Period,8,-30,100,130,0.30000001
6467,Monte dell'Oro-Ponte Coperto,A,Mid-Imperial Period,9,100,300,200,0.30000001
6467,Monte dell'Oro-Ponte Coperto,A,Late Imperial Period,10,300,500,200,0.30000001
6468,Casaletti,A,Republican Period,7,-200,-30,170,0.1
6468,Casaletti,A,Early Imperial Period,8,-30,100,130,0.1
6468,Casaletti,A,Mid-Imperial Period,9,100,300,200,0.1
6468,Casaletti,A,Late Imperial Period,10,300,500,200,0.1
6469,Riserva Le Caselle,A,Republican Period,7,-200,-30,170,0.30000001
6469,Riserva Le Caselle,A,Early Imperial Period,8,-30,100,130,0.30000001
6469,Riserva Le Caselle,A,Mid-Imperial Period,9,100,300,200,0.30000001
6469,Riserva Le Caselle,A,Late Imperial Period,10,300,500,200,0.30000001
6470,Tre Confini,A,Late Iron Age,5,-600,-580,20,0.30000001
6470,Tre Confini,A,Archaic Period,6,-580,-350,230,0.30000001
6470,Tre Confini,A,Republican Period,7,-350,-200,150,0.30000001
6471,Le Capanne,A,Republican Period,7,-200,-30,170,0.30000001
6471,Le Capanne,A,Early Imperial Period,8,-30,100,130,0.30000001
6471,Le Capanne,A,Mid-Imperial Period,9,100,300,200,0.30000001
6471,Le Capanne,A,Late Imperial Period,10,300,500,200,0.30000001
6472,Ceri,A,Late Bronze Age,3,-1100,-1020,80,0.5
6472,Ceri,B,Early Iron Age,4,-1020,-750,270,0.5
6472,Ceri,B,Late Iron Age,5,-750,-580,170,0.5
6472,Ceri,B,Archaic Period,6,-580,-500,80,0.5
6472,Ceri,C,Republican Period,7,-200,-30,170,0.5
6472,Ceri,C,Early Imperial Period,8,-30,100,130,0.5
6472,Ceri,C,Mid-Imperial Period,9,100,300,200,0.5
6472,Ceri,C,Late Imperial Period,10,300,500,200,0.5
6473,Il Pigno di Ceri,A,Late Iron Age,5,-700,-580,120,0.30000001
6473,Il Pigno di Ceri,A,Archaic Period,6,-580,-500,80,0.30000001
6473,Il Pigno di Ceri,B,Republican Period,7,-100,-30,70,0.30000001
6473,Il Pigno di Ceri,B,Early Imperial Period,8,-30,100,130,0.30000001
6473,Il Pigno di Ceri,B,Mid-Imperial Period,9,100,300,200,0.30000001
6473,Il Pigno di Ceri,B,Late Imperial Period,10,300,500,200,0.30000001
6474,M. Abbadone,A,Late Iron Age,5,-600,-580,20,0.7326169
6474,M. Abbadone,A,Archaic Period,6,-580,-500,80,0.7326169
6474,M. Abbadone,B,Republican Period,7,-200,-30,170,0.7326169
6474,M. Abbadone,B,Early Imperial Period,8,-30,100,130,0.7326169
6474,M. Abbadone,B,Mid-Imperial Period,9,100,300,200,0.7326169
6474,M. Abbadone,B,Late Imperial Period,10,300,400,100,0.7326169
6475,Monte Ceri,A,Early Imperial Period,8,0,100,100,0.30000001
6475,Monte Ceri,A,Mid-Imperial Period,9,100,200,100,0.30000001
6476,Quarto del Cecio,A,Republican Period,7,-200,-30,170,0.30000001
6476,Quarto del Cecio,A,Early Imperial Period,8,-30,100,130,0.30000001
6476,Quarto del Cecio,A,Mid-Imperial Period,9,100,300,200,0.30000001
6476,Quarto del Cecio,A,Late Imperial Period,10,300,500,200,0.30000001
6477,Castellaccio di Castel Campanile,A,Late Iron Age,5,-700,-580,120,0.5
6477,Castellaccio di Castel Campanile,A,Archaic Period,6,-580,-500,80,0.5
6477,Castellaccio di Castel Campanile,B,Republican Period,7,-200,-30,170,0.5
6477,Castellaccio di Castel Campanile,B,Early Imperial Period,8,-30,100,130,0.5
6477,Castellaccio di Castel Campanile,B,Mid-Imperial Period,9,100,300,200,0.5
6477,Castellaccio di Castel Campanile,B,Late Imperial Period,10,300,500,200,0.5
6478,Tenuta di Castel Campanile,A,Late Iron Age,5,-600,-580,20,0.30000001
6478,Tenuta di Castel Campanile,A,Archaic Period,6,-580,-350,230,0.30000001
6478,Tenuta di Castel Campanile,A,Republican Period,7,-350,-200,150,0.30000001
6479,Moscone,A,Republican Period,7,-300,-30,270,2.1295149
6479,Moscone,A,Early Imperial Period,8,-30,100,130,2.1295149
6479,Moscone,A,Mid-Imperial Period,9,100,300,200,2.1295149
6479,Moscone,A,Late Imperial Period,10,300,500,200,2.1295149
6479,Moscone,A,Late Antique Period,11,500,600,100,2.1295149
6480,Quartaccio,A,Republican Period,7,-200,-30,170,0.1
6480,Quartaccio,A,Early Imperial Period,8,-30,100,130,0.1
6480,Quartaccio,A,Mid-Imperial Period,9,100,300,200,0.1
6480,Quartaccio,A,Late Imperial Period,10,300,500,200,0.1
6481,Selva La Rocca,A,Late Iron Age,5,-700,-580,120,0.5
6481,Selva La Rocca,A,Archaic Period,6,-580,-500,80,0.5
6482,Valle Canneto,A,Late Iron Age,5,-600,-580,20,1.4089526
6482,Valle Canneto,A,Archaic Period,6,-580,-500,80,1.4089526
6482,Valle Canneto,B,Republican Period,7,-200,-30,170,1.4089526
6482,Valle Canneto,B,Early Imperial Period,8,-30,100,130,1.4089526
6482,Valle Canneto,B,Mid-Imperial Period,9,100,300,200,1.4089526
6483,Pogggio Elceto,A,Late Bronze Age,3,-1100,-1020,80,0.1
6483,Pogggio Elceto,A,Early Iron Age,4,-1020,-900,120,0.1
6484,Pian del Pero,A,Late Bronze Age,3,-1100,-1020,80,0.1
6484,Pian del Pero,A,Early Iron Age,4,-1020,-900,120,0.1
6485,Monte Tolfaccia,A,Late Bronze Age,3,-1100,-1020,80,0.1
6485,Monte Tolfaccia,B,Early Iron Age,4,-1020,-750,270,0.1
6485,Monte Tolfaccia,B,Late Iron Age,5,-750,-700,50,0.1
6486,La Marina,A,Republican Period,7,-100,-30,70,0.1
6486,La Marina,A,Early Imperial Period,8,-30,100,130,0.1
6486,La Marina,A,Mid-Imperial Period,9,100,300,200,0.1
6486,La Marina,A,Late Imperial Period,10,300,500,200,0.1
6487,Mandra Cherubini,A,Republican Period,7,-100,-30,70,0.40000001
6487,Mandra Cherubini,A,Early Imperial Period,8,-30,100,130,0.40000001
6487,Mandra Cherubini,A,Mid-Imperial Period,9,100,300,200,0.40000001
6487,Mandra Cherubini,A,Late Imperial Period,10,300,500,200,0.40000001
6488,Mandra Ciolli,A,Mid-Imperial Period,9,100,300,200,0.1
6488,Mandra Ciolli,A,Late Imperial Period,10,300,400,100,0.1
6489,Campo Morto,A,Republican Period,7,-100,-30,70,0.1
6489,Campo Morto,A,Early Imperial Period,8,-30,100,130,0.1
6490,Campo Morto,A,Early Imperial Period,8,-30,100,130,0.1
6490,Campo Morto,A,Mid-Imperial Period,9,100,300,200,0.1
6491,Tenuta Pian d'Arcione,A,Late Iron Age,5,-700,-580,120,0.1
6491,Tenuta Pian d'Arcione,A,Archaic Period,6,-580,-350,230,0.1
6491,Tenuta Pian d'Arcione,A,Republican Period,7,-350,-200,150,0.1
6492,Tenuta Pian d'Arcione,A,Republican Period,7,-300,-30,270,1
6492,Tenuta Pian d'Arcione,A,Early Imperial Period,8,-30,100,130,1
6492,Tenuta Pian d'Arcione,A,Mid-Imperial Period,9,100,300,200,1
6492,Tenuta Pian d'Arcione,A,Late Imperial Period,10,300,400,100,1
6493,Tenuta Pian d'Arcione,A,Early Imperial Period,8,-30,100,130,0.1
6493,Tenuta Pian d'Arcione,A,Mid-Imperial Period,9,100,300,200,0.1
6493,Tenuta Pian d'Arcione,A,Late Imperial Period,10,300,500,200,0.1
6494,Lestra d'Asti,A,Republican Period,7,-50,-30,20,0.02
6494,Lestra d'Asti,A,Early Imperial Period,8,-30,100,130,0.02
6495,Tenuta Pian d'Arcione,A,Republican Period,7,-350,-200,150,0.02
6496,Macchia Pian d'Arcione,A,Early Imperial Period,8,0,100,100,0.1
6497,Tenuta Pian d'Arcione,A,Republican Period,7,-300,-30,270,0.02
6498,Bosco delle Cavalline,A,Republican Period,7,-300,-30,270,0.039999999
6499,Bosco delle Cavalline,A,Late Iron Age,5,-700,-580,120,0.059999999
6499,Bosco delle Cavalline,A,Archaic Period,6,-580,-350,230,0.059999999
6499,Bosco delle Cavalline,A,Republican Period,7,-350,-300,50,0.059999999
6500,Porto delle Murelle,A,Republican Period,7,-100,-30,70,0.30000001
6500,Porto delle Murelle,A,Early Imperial Period,8,-30,100,130,0.30000001
6500,Porto delle Murelle,A,Mid-Imperial Period,9,100,300,200,0.30000001
6500,Porto delle Murelle,A,Late Imperial Period,10,300,500,200,0.30000001
6501,Mandra Ceroti,A,Republican Period,7,-300,-30,270,0.2
6501,Mandra Ceroti,A,Early Imperial Period,8,-30,100,130,0.2
6501,Mandra Ceroti,A,Mid-Imperial Period,9,100,200,100,0.2
6502,Mandra Ceroti,A,Late Imperial Period,10,300,500,200,0.059999999
6503,Mandra Ceroti,A,Republican Period,7,-100,-30,70,0.039999999
6503,Mandra Ceroti,A,Early Imperial Period,8,-30,100,130,0.039999999
6503,Mandra Ceroti,A,Mid-Imperial Period,9,100,200,100,0.039999999
6504,Mandra Ceroti,A,Mid-Imperial Period,9,100,300,200,0.5
6504,Mandra Ceroti,A,Late Imperial Period,10,300,500,200,0.5
6505,Mandra Grande,A,Republican Period,7,-300,-30,270,0.039999999
6506,Mandra Grande,A,Republican Period,7,-300,-30,270,0.2
6506,Mandra Grande,A,Early Imperial Period,8,-30,100,130,0.2
6506,Mandra Grande,A,Mid-Imperial Period,9,100,300,200,0.2
6506,Mandra Grande,A,Late Imperial Period,10,300,500,200,0.2
6507,Tenuta Pian d'Arcione Tarquinia,A,Republican Period,7,-350,-30,320,0.1
6507,Tenuta Pian d'Arcione Tarquinia,A,Early Imperial Period,8,-30,100,130,0.1
6508,Tenuta Pian d'Arcione,A,Early Imperial Period,8,-30,100,130,2
6508,Tenuta Pian d'Arcione,A,Mid-Imperial Period,9,100,300,200,2
6508,Tenuta Pian d'Arcione,A,Late Imperial Period,10,300,500,200,2
6509,La Piana di S. Pietro,A,Republican Period,7,-300,-30,270,0.5
6509,La Piana di S. Pietro,A,Early Imperial Period,8,-30,100,130,0.5
6509,La Piana di S. Pietro,A,Mid-Imperial Period,9,100,300,200,0.5
6509,La Piana di S. Pietro,A,Late Imperial Period,10,300,500,200,0.5
6510,Valfragida,A,Republican Period,7,-300,-30,270,0.029999999
6511,Bosco delle Cavalline,A,Republican Period,7,-300,-30,270,0.039999999
6512,Selvaccia,A,Republican Period,7,-100,-30,70,0.1
6512,Selvaccia,A,Early Imperial Period,8,-30,100,130,0.1
6513,Selvaccia,A,Archaic Period,6,-400,-350,50,0.02
6513,Selvaccia,A,Republican Period,7,-350,-200,150,0.02
6514,Valfragida,A,Republican Period,7,-100,-30,70,0.1
6514,Valfragida,A,Early Imperial Period,8,-30,100,130,0.1
6515,Valfragida,A,Republican Period,7,-300,-30,270,0.2
6515,Valfragida,A,Early Imperial Period,8,-30,100,130,0.2
6515,Valfragida,A,Mid-Imperial Period,9,100,200,100,0.2
6516,Selvaccia,A,Republican Period,7,-300,-30,270,0.039999999
6517,Bosco delle Cavalline,A,Republican Period,7,-50,-30,20,0.1
6517,Bosco delle Cavalline,A,Early Imperial Period,8,-30,100,130,0.1
6517,Bosco delle Cavalline,A,Mid-Imperial Period,9,100,200,100,0.1
6518,Lestra d'Asti,A,Republican Period,7,-100,-30,70,0.69999999
6518,Lestra d'Asti,A,Early Imperial Period,8,-30,100,130,0.69999999
6518,Lestra d'Asti,A,Mid-Imperial Period,9,100,300,200,0.69999999
6518,Lestra d'Asti,A,Late Imperial Period,10,300,500,200,0.69999999
6519,Bosco delle Cavalline,A,Republican Period,7,-300,-100,200,0.059999999
6520,Selvaccia,A,Republican Period,7,-300,-30,270,0.01
6521,Bosco delle Cavalline,A,Republican Period,7,-200,-30,170,0.1
6521,Bosco delle Cavalline,A,Early Imperial Period,8,-30,100,130,0.1
6522,Selvaccia,A,Republican Period,7,-100,-30,70,0.1
6522,Selvaccia,A,Early Imperial Period,8,-30,100,130,0.1
6523,Selvaccia,A,Republican Period,7,-300,-30,270,0.029999999
6524,Selvaccia,A,Late Iron Age,5,-600,-580,20,0.029999999
6524,Selvaccia,A,Archaic Period,6,-580,-350,230,0.029999999
6524,Selvaccia,A,Republican Period,7,-350,-200,150,0.029999999
6525,Selvaccia,A,Republican Period,7,-200,-30,170,0.1
6525,Selvaccia,A,Early Imperial Period,8,-30,100,130,0.1
6526,Selvaccia,A,Republican Period,7,-300,-30,270,0.039999999
6527,Bosco delle Cavalline,A,Republican Period,7,-200,-100,100,0.039999999
6528,Lestra dell'Ospedale,A,Republican Period,7,-300,-30,270,0.039999999
6529,Lestra dell'Ospedale,A,Republican Period,7,-300,-30,270,0.050000001
6530,Il Poderino,A,Republican Period,7,-300,-30,270,0.1
6530,Il Poderino,A,Early Imperial Period,8,-30,100,130,0.1
6531,Podere Arrone,A,Mid-Imperial Period,9,100,300,200,0.2
6532,Valfragida,A,Republican Period,7,-300,-30,270,0.1
6533,Selvaccia,A,Republican Period,7,-200,-30,170,0.039999999
6534,Selvaccia,A,Republican Period,7,-300,-30,270,0.059999999
6535,Selvaccia,A,Republican Period,7,-300,-100,200,0.1
6536,Selvaccia,A,Republican Period,7,-100,-30,70,0.039999999
6536,Selvaccia,A,Early Imperial Period,8,-30,100,130,0.039999999
6537,Valfragida,A,Republican Period,7,-300,-200,100,0.02
6538,Valfragida,A,Republican Period,7,-100,-30,70,0.079999998
6538,Valfragida,A,Early Imperial Period,8,-30,100,130,0.079999998
6538,Valfragida,A,Mid-Imperial Period,9,100,200,100,0.079999998
6539,Valfragida,A,Republican Period,7,-100,-30,70,0.039999999
6539,Valfragida,A,Early Imperial Period,8,-30,100,130,0.039999999
6540,I Due Ponti,A,Republican Period,7,-300,-30,270,1.5
6540,I Due Ponti,A,Early Imperial Period,8,-30,100,130,1.5
6540,I Due Ponti,A,Mid-Imperial Period,9,100,300,200,1.5
6540,I Due Ponti,A,Late Imperial Period,10,300,500,200,1.5
6541,Gramiccia,A,Republican Period,7,-200,-30,170,0.059999999
6542,Gramiccia,A,Republican Period,7,-300,-30,270,0.050000001
6543,Spinicci,A,Early Imperial Period,8,-30,100,130,0.059999999
6543,Spinicci,A,Mid-Imperial Period,9,100,300,200,0.059999999
6543,Spinicci,A,Late Imperial Period,10,300,500,200,0.059999999
6544,Spinicci,A,Late Iron Age,5,-600,-580,20,0.039999999
6544,Spinicci,A,Archaic Period,6,-580,-350,230,0.039999999
6544,Spinicci,A,Republican Period,7,-350,-30,320,0.039999999
6544,Spinicci,A,Early Imperial Period,8,-30,100,130,0.039999999
6544,Spinicci,A,Mid-Imperial Period,9,100,300,200,0.039999999
6544,Spinicci,A,Late Imperial Period,10,300,500,200,0.039999999
6545,Spinicci,A,Republican Period,7,-300,-30,270,0.1
6546,Tenuta Vaccareccia,A,Republican Period,7,-100,-30,70,0.1
6546,Tenuta Vaccareccia,A,Early Imperial Period,8,-30,100,130,0.1
6546,Tenuta Vaccareccia,A,Mid-Imperial Period,9,100,300,200,0.1
6547,Capannone,A,Republican Period,7,-300,-30,270,0.01
6548,Tenuta Vaccareccia,A,Republican Period,7,-300,-30,270,0.2
6549,Il Gesso,A,Republican Period,7,-200,-30,170,0.30000001
6549,Il Gesso,A,Early Imperial Period,8,-30,100,130,0.30000001
6549,Il Gesso,A,Mid-Imperial Period,9,100,300,200,0.30000001
6549,Il Gesso,A,Late Imperial Period,10,300,400,100,0.30000001
6550,Il Gesso,A,Republican Period,7,-300,-30,270,0.1
6551,Tenuta Vaccareccia,A,Republican Period,7,-100,-30,70,0.1
6551,Tenuta Vaccareccia,A,Early Imperial Period,8,-30,100,130,0.1
6552,La Cesa,A,Republican Period,7,-300,-30,270,0.059999999
6553,La Cesa,A,Late Iron Age,5,-600,-580,20,0.039999999
6553,La Cesa,A,Archaic Period,6,-580,-350,230,0.039999999
6553,La Cesa,A,Republican Period,7,-350,-300,50,0.039999999
6554,Cazzanello,A,Republican Period,7,-100,-30,70,0.5
6554,Cazzanello,A,Early Imperial Period,8,-30,100,130,0.5
6554,Cazzanello,A,Mid-Imperial Period,9,100,300,200,0.5
6554,Cazzanello,A,Late Imperial Period,10,300,500,200,0.5
6555,Cazzanello,A,Mid-Imperial Period,9,100,300,200,0.1
6556,Vaccareccia,A,Late Iron Age,5,-600,-580,20,0.40000001
6556,Vaccareccia,A,Archaic Period,6,-580,-350,230,0.40000001
6556,Vaccareccia,A,Republican Period,7,-350,-30,320,0.40000001
6557,Tenuta Vaccareccia,A,Republican Period,7,-300,-100,200,0.1
6558,Piatanete,A,Republican Period,7,-200,-30,170,0.1
6559,Piatanete,A,Republican Period,7,-100,-30,70,0.1
6560,Piatanete,A,Republican Period,7,-200,-30,170,0.1
6561,Il Gesso,A,Republican Period,7,-100,-30,70,0.039999999
6561,Il Gesso,A,Early Imperial Period,8,-30,100,130,0.039999999
6561,Il Gesso,A,Mid-Imperial Period,9,100,300,200,0.039999999
6561,Il Gesso,A,Late Imperial Period,10,300,400,100,0.039999999
6562,Valliardo,A,Republican Period,7,-100,-30,70,0.2
6562,Valliardo,A,Early Imperial Period,8,-30,100,130,0.2
6562,Valliardo,A,Mid-Imperial Period,9,100,300,200,0.2
6563,Valliardo,A,Republican Period,7,-100,-30,70,0.050000001
6563,Valliardo,A,Early Imperial Period,8,-30,100,130,0.050000001
6564,Valliardo,A,Republican Period,7,-300,-100,200,0.059999999
6565,Valliardo,A,Republican Period,7,-100,-30,70,0.2
6565,Valliardo,A,Early Imperial Period,8,-30,100,130,0.2
6565,Valliardo,A,Mid-Imperial Period,9,100,300,200,0.2
6565,Valliardo,A,Late Imperial Period,10,300,400,100,0.2
6566,Valliardo,A,Republican Period,7,-100,-30,70,0.1
6566,Valliardo,A,Early Imperial Period,8,-30,100,130,0.1
6566,Valliardo,A,Mid-Imperial Period,9,100,300,200,0.1
6566,Valliardo,A,Late Imperial Period,10,300,350,50,0.1
6567,Valliardo,A,Republican Period,7,-100,-30,70,0.2
6567,Valliardo,A,Early Imperial Period,8,-30,100,130,0.2
6568,Valliardo,A,Republican Period,7,-200,-30,170,0.30000001
6568,Valliardo,A,Early Imperial Period,8,-30,100,130,0.30000001
6568,Valliardo,A,Mid-Imperial Period,9,100,200,100,0.30000001
